time,open,high,low,close,tick_volume,spread,real_volume
2021-12-22 09:11:00,114.125,114.132,114.124,114.131,20,0,0
2021-12-22 09:12:00,114.131,114.131,114.131,114.131,1,1,0
2021-12-22 09:13:00,114.133,114.133,114.131,114.131,3,0,0
2021-12-22 09:14:00,114.13,114.131,114.126,114.126,10,0,0
2021-12-22 09:15:00,114.126,114.14,114.126,114.138,38,0,0
2021-12-22 09:16:00,114.138,114.142,114.138,114.141,13,0,0
2021-12-22 09:17:00,114.141,114.145,114.139,114.144,13,0,0
2021-12-22 09:18:00,114.144,114.144,114.139,114.139,12,1,0
2021-12-22 09:19:00,114.139,114.144,114.139,114.141,18,0,0
2021-12-22 09:20:00,114.143,114.143,114.136,114.142,24,0,0
2021-12-22 09:21:00,114.145,114.152,114.143,114.145,33,0,0
2021-12-22 09:22:00,114.145,114.146,114.143,114.144,19,0,0
2021-12-22 09:23:00,114.144,114.155,114.144,114.152,18,0,0
2021-12-22 09:24:00,114.152,114.152,114.144,114.144,10,0,0
2021-12-22 09:25:00,114.144,114.145,114.14,114.145,12,0,0
2021-12-22 09:26:00,114.147,114.152,114.147,114.152,11,0,0
2021-12-22 09:27:00,114.152,114.152,114.145,114.146,8,0,0
2021-12-22 09:28:00,114.146,114.147,114.141,114.144,16,0,0
2021-12-22 09:29:00,114.144,114.145,114.138,114.142,16,0,0
2021-12-22 09:30:00,114.143,114.145,114.135,114.135,11,0,0
2021-12-22 09:31:00,114.135,114.145,114.135,114.139,19,0,0
2021-12-22 09:32:00,114.14,114.141,114.137,114.137,13,0,0
2021-12-22 09:33:00,114.138,114.142,114.134,114.134,17,0,0
2021-12-22 09:34:00,114.132,114.134,114.13,114.132,18,0,0
2021-12-22 09:35:00,114.132,114.135,114.132,114.133,12,0,0
2021-12-22 09:36:00,114.134,114.137,114.132,114.133,10,0,0
2021-12-22 09:37:00,114.132,114.133,114.128,114.128,13,0,0
2021-12-22 09:38:00,114.128,114.129,114.124,114.128,13,0,0
2021-12-22 09:39:00,114.128,114.13,114.124,114.127,14,0,0
2021-12-22 09:40:00,114.127,114.129,114.125,114.127,15,0,0
2021-12-22 09:41:00,114.12,114.124,114.12,114.122,9,0,0
2021-12-22 09:42:00,114.122,114.134,114.122,114.133,9,0,0
2021-12-22 09:43:00,114.133,114.133,114.125,114.13,16,0,0
2021-12-22 09:44:00,114.131,114.137,114.131,114.136,16,0,0
2021-12-22 09:45:00,114.136,114.137,114.134,114.137,8,0,0
2021-12-22 09:46:00,114.136,114.137,114.131,114.136,13,0,0
2021-12-22 09:47:00,114.138,114.154,114.138,114.152,23,0,0
2021-12-22 09:48:00,114.152,114.156,114.147,114.156,27,0,0
2021-12-22 09:49:00,114.155,114.155,114.147,114.152,14,0,0
2021-12-22 09:50:00,114.15,114.153,114.149,114.152,9,0,0
2021-12-22 09:51:00,114.152,114.152,114.147,114.147,6,0,0
2021-12-22 09:52:00,114.147,114.152,114.146,114.152,4,0,0
2021-12-22 09:53:00,114.15,114.15,114.143,114.146,25,0,0
2021-12-22 09:54:00,114.146,114.152,114.145,114.146,13,0,0
2021-12-22 09:55:00,114.142,114.146,114.141,114.145,16,0,0
2021-12-22 09:56:00,114.145,114.162,114.145,114.159,22,0,0
2021-12-22 09:57:00,114.159,114.159,114.151,114.155,14,0,0
2021-12-22 09:58:00,114.156,114.16,114.155,114.159,14,0,0
2021-12-22 09:59:00,114.161,114.164,114.16,114.164,10,0,0
2021-12-22 10:00:00,114.16,114.165,114.156,114.165,37,0,0
2021-12-22 10:01:00,114.166,114.166,114.159,114.16,15,0,0
2021-12-22 10:02:00,114.16,114.167,114.159,114.165,20,0,0
2021-12-22 10:03:00,114.166,114.179,114.166,114.172,38,0,0
2021-12-22 10:04:00,114.172,114.191,114.17,114.188,32,0,0
2021-12-22 10:05:00,114.188,114.194,114.186,114.191,31,0,0
2021-12-22 10:06:00,114.191,114.193,114.174,114.176,22,0,0
2021-12-22 10:07:00,114.173,114.18,114.171,114.172,32,0,0
2021-12-22 10:08:00,114.172,114.172,114.167,114.17,21,0,0
2021-12-22 10:09:00,114.169,114.177,114.168,114.177,12,0,0
2021-12-22 10:10:00,114.177,114.183,114.168,114.168,19,0,0
2021-12-22 10:11:00,114.168,114.172,114.16,114.161,24,0,0
2021-12-22 10:12:00,114.162,114.163,114.155,114.16,21,0,0
2021-12-22 10:13:00,114.16,114.161,114.156,114.159,15,0,0
2021-12-22 10:14:00,114.158,114.18,114.158,114.173,26,0,0
2021-12-22 10:15:00,114.173,114.187,114.172,114.184,28,0,0
2021-12-22 10:16:00,114.185,114.185,114.172,114.178,16,0,0
2021-12-22 10:17:00,114.177,114.181,114.165,114.166,26,0,0
2021-12-22 10:18:00,114.166,114.168,114.165,114.167,10,0,0
2021-12-22 10:19:00,114.167,114.169,114.165,114.166,17,0,0
2021-12-22 10:20:00,114.166,114.166,114.155,114.158,25,0,0
2021-12-22 10:21:00,114.157,114.159,114.155,114.158,11,0,0
2021-12-22 10:22:00,114.161,114.163,114.154,114.159,25,0,0
2021-12-22 10:23:00,114.16,114.165,114.16,114.165,7,0,0
2021-12-22 10:24:00,114.165,114.165,114.16,114.16,7,0,0
2021-12-22 10:25:00,114.16,114.16,114.154,114.154,11,0,0
2021-12-22 10:26:00,114.153,114.155,114.142,114.144,18,0,0
2021-12-22 10:27:00,114.143,114.143,114.141,114.142,9,0,0
2021-12-22 10:28:00,114.142,114.142,114.128,114.128,22,0,0
2021-12-22 10:29:00,114.128,114.142,114.128,114.142,9,0,0
2021-12-22 10:30:00,114.142,114.145,114.141,114.145,11,0,0
2021-12-22 10:31:00,114.141,114.142,114.13,114.133,22,0,0
2021-12-22 10:32:00,114.134,114.142,114.132,114.138,20,0,0
2021-12-22 10:33:00,114.138,114.14,114.132,114.14,18,0,0
2021-12-22 10:34:00,114.139,114.155,114.139,114.152,34,0,0
2021-12-22 10:35:00,114.152,114.152,114.144,114.15,20,0,0
2021-12-22 10:36:00,114.15,114.155,114.149,114.153,19,0,0
2021-12-22 10:37:00,114.154,114.155,114.147,114.147,15,0,0
2021-12-22 10:38:00,114.143,114.147,114.141,114.142,30,0,0
2021-12-22 10:39:00,114.141,114.142,114.132,114.135,36,0,0
2021-12-22 10:40:00,114.134,114.141,114.134,114.136,25,0,0
2021-12-22 10:41:00,114.135,114.147,114.135,114.146,32,0,0
2021-12-22 10:42:00,114.146,114.153,114.143,114.15,36,0,0
2021-12-22 10:43:00,114.152,114.153,114.144,114.15,21,0,0
2021-12-22 10:44:00,114.15,114.15,114.136,114.146,31,0,0
2021-12-22 10:45:00,114.146,114.153,114.142,114.145,24,0,0
2021-12-22 10:46:00,114.143,114.151,114.142,114.151,20,0,0
2021-12-22 10:47:00,114.152,114.152,114.147,114.149,10,0,0
2021-12-22 10:48:00,114.149,114.154,114.148,114.154,20,0,0
2021-12-22 10:49:00,114.154,114.155,114.147,114.148,24,0,0
2021-12-22 10:50:00,114.148,114.159,114.144,114.156,18,0,0
2021-12-22 10:51:00,114.156,114.165,114.156,114.161,16,0,0
2021-12-22 10:52:00,114.161,114.173,114.161,114.172,22,0,0
2021-12-22 10:53:00,114.173,114.176,114.172,114.174,15,0,0
2021-12-22 10:54:00,114.174,114.176,114.162,114.164,21,0,0
2021-12-22 10:55:00,114.165,114.165,114.157,114.161,43,0,0
2021-12-22 10:56:00,114.16,114.174,114.16,114.167,28,0,0
2021-12-22 10:57:00,114.167,114.175,114.165,114.174,18,0,0
2021-12-22 10:58:00,114.174,114.18,114.164,114.165,36,0,0
2021-12-22 10:59:00,114.166,114.166,114.153,114.154,40,0,0
2021-12-22 11:00:00,114.153,114.16,114.146,114.152,68,0,0
2021-12-22 11:01:00,114.152,114.158,114.152,114.153,41,0,0
2021-12-22 11:02:00,114.152,114.167,114.152,114.167,41,0,0
2021-12-22 11:03:00,114.166,114.179,114.165,114.172,36,0,0
2021-12-22 11:04:00,114.173,114.191,114.173,114.185,56,0,0
2021-12-22 11:05:00,114.185,114.189,114.176,114.178,54,0,0
2021-12-22 11:06:00,114.177,114.179,114.17,114.171,33,0,0
2021-12-22 11:07:00,114.171,114.178,114.171,114.176,27,0,0
2021-12-22 11:08:00,114.176,114.18,114.168,114.178,23,0,0
2021-12-22 11:09:00,114.178,114.182,114.168,114.172,31,0,0
2021-12-22 11:10:00,114.172,114.175,114.169,114.172,48,0,0
2021-12-22 11:11:00,114.171,114.172,114.16,114.171,51,0,0
2021-12-22 11:12:00,114.172,114.18,114.169,114.173,41,0,0
2021-12-22 11:13:00,114.172,114.192,114.172,114.187,38,0,0
2021-12-22 11:14:00,114.188,114.193,114.183,114.191,37,0,0
2021-12-22 11:15:00,114.191,114.2,114.189,114.199,20,0,0
2021-12-22 11:16:00,114.196,114.211,114.195,114.211,48,0,0
2021-12-22 11:17:00,114.216,114.24,114.216,114.23,64,0,0
2021-12-22 11:18:00,114.23,114.245,114.23,114.233,37,0,0
2021-12-22 11:19:00,114.233,114.244,114.232,114.239,46,0,0
2021-12-22 11:20:00,114.24,114.246,114.24,114.244,33,0,0
2021-12-22 11:21:00,114.244,114.244,114.235,114.238,51,0,0
2021-12-22 11:22:00,114.238,114.244,114.238,114.241,40,0,0
2021-12-22 11:23:00,114.242,114.244,114.237,114.243,28,0,0
2021-12-22 11:24:00,114.243,114.247,114.231,114.237,35,0,0
2021-12-22 11:25:00,114.239,114.278,114.237,114.275,69,0,0
2021-12-22 11:26:00,114.275,114.284,114.269,114.275,33,0,0
